APPLICATION_NUMBER,TARGET,NAME_CONTRACT_TYPE
123458709,0,Cash
123603978,0,Cash
123542824,1,Cash
123723072,0,Credit Card
123639591,0,Cash
123548980,0,Cash
123525720,0,Cash
123447831,0,Cash
123697761,0,Cash
123681524,0,Cash
123424695,0,Cash
123555452,0,Cash
123629584,0,Credit Card
123533268,0,Cash
123559363,0,Cash
123673238,0,Cash
123491223,0,Cash
123433482,0,Cash
123633167,0,Cash
123433884,0,Cash
123709467,0,Cash
123607554,0,Cash
123641351,0,Cash
123553725,0,Cash
123643817,0,Cash
123604917,0,Cash
123534226,0,Cash
123429366,0,Cash
123647915,0,Cash
123653802,0,Cash
123701827,0,Cash
123650613,0,Cash
123575309,0,Cash
123427134,0,Cash
123424763,0,Cash
123669196,0,Credit Card
123703673,0,Cash
123689708,0,Cash
123490914,0,Cash
123567796,0,Cash
123507091,0,Cash
123532507,0,Cash
123473261,0,Cash
123715333,0,Cash
123593721,0,Cash
123601961,0,Cash
123687453,1,Cash
123447872,0,Credit Card
123637341,0,Cash
123628334,0,Cash
123479661,0,Cash
123551290,0,Cash
123631825,0,Cash
123668627,0,Credit Card
123654104,0,Credit Card
123719755,0,Credit Card
123472512,0,Credit Card
123710567,0,Cash
123429938,0,Credit Card
123571532,0,Cash
123484733,0,Cash
123519205,0,Cash
123575312,0,Cash
123622422,0,Cash
123611895,0,Cash
123502618,0,Cash
123579920,1,Cash
123716034,0,Credit Card
123462037,0,Cash
123464508,0,Cash
123704398,0,Cash
123691253,0,Cash
123509823,0,Cash
123428948,0,Cash
123641980,0,Cash
123601643,0,Cash
123475753,0,Cash
123714902,0,Cash
123511404,0,Cash
123600558,0,Cash
123432386,0,Cash
123719403,0,Cash
123559622,0,Cash
123513700,0,Cash
123457987,0,Cash
123442873,0,Cash
123585696,0,Cash
123527039,0,Cash
123536669,0,Cash
123702595,0,Credit Card
123699383,0,Cash
123549214,0,Cash
123516507,0,Cash
123729816,0,Cash
123711604,0,Cash
123455616,0,Cash
123456345,0,Cash
123490747,0,Cash
123539025,0,Cash
123577541,0,Cash
123581240,0,Credit Card
123441404,0,Cash
123489818,0,Cash
123644460,0,Cash
123559839,0,Cash
123628348,0,Cash
123527801,1,Cash
123457413,0,Cash
123717061,0,Cash
123488255,0,Cash
123428952,0,Credit Card
123618337,0,Cash
123653598,0,Cash
123558681,0,Cash
123659358,0,Cash
123723726,0,Cash
123429414,0,Cash
123643660,0,Cash
123491408,0,Cash
123647102,0,Credit Card
123466192,0,Cash
123505487,0,Cash
123680793,0,Cash
123514833,0,Cash
123549484,0,Cash
123713523,0,Cash
123571774,1,Cash
123503589,0,Cash
123714642,0,Cash
123429849,1,Cash
123709694,0,Cash
123427741,0,Cash
123704215,0,Cash
123664137,0,Cash
123643258,1,Cash
123594909,0,Cash
123703403,0,Cash
123562867,0,Cash
123565701,0,Cash
123601461,0,Cash
123675168,0,Cash
123434280,0,Cash
123521696,0,Cash
123723621,0,Cash
123478421,0,Cash
123575564,0,Cash
123698883,0,Cash
123717363,0,Cash
123598843,0,Cash
123685562,0,Cash
123436478,0,Cash
123553204,0,Cash
123608125,0,Cash
123657830,0,Cash
123705933,0,Cash
123601737,0,Cash
123621731,0,Cash
123659232,0,Cash
123657651,0,Cash
123609566,0,Cash
123465451,0,Credit Card
123624375,0,Cash
123562270,0,Cash
123434938,0,Cash
123484054,0,Cash
123657462,0,Cash
123619489,0,Cash
123440612,0,Cash
123566988,1,Cash
123578588,0,Cash
123428690,0,Credit Card
123688628,0,Credit Card
123423724,0,Cash
123470316,1,Cash
123560463,0,Cash
123538702,0,Cash
123433433,0,Cash
123514061,0,Cash
123516056,0,Cash
123445803,1,Cash
123474901,0,Cash
123642186,1,Cash
123438692,0,Cash
123592475,0,Cash
123640223,0,Cash
123546396,0,Credit Card
123714897,0,Credit Card
123655650,0,Cash
123440377,0,Credit Card
123671710,0,Credit Card
123495878,0,Credit Card
123614239,0,Cash
123681446,0,Cash
123686639,0,Credit Card
123565850,0,Cash
123682535,0,Cash
123627484,0,Cash
123450300,0,Cash
123488641,0,Cash
123574527,0,Cash
123721371,0,Cash
123708584,1,Cash
123520709,0,Cash
123694044,0,Cash
123600105,0,Cash
123461233,0,Cash
123534923,0,Cash
123469452,0,Cash
123692675,0,Cash
123426700,0,Cash
123676643,1,Cash
123606344,0,Cash
123454547,0,Cash
123499712,0,Credit Card
123527757,1,Cash
123460728,0,Cash
123720518,0,Cash
123645862,0,Cash
123505574,0,Cash
123618075,0,Cash
123609416,0,Cash
123535132,0,Cash
123563839,1,Cash
123618115,0,Credit Card
123649680,0,Cash
123613233,0,Cash
123455105,0,Cash
123505863,0,Cash
123619699,0,Cash
123520348,0,Cash
123599135,0,Cash
123492444,0,Cash
123545693,0,Cash
123719498,0,Cash
123537456,0,Cash
123666953,0,Cash
123631707,0,Cash
123464072,0,Cash
123623618,0,Cash
123466712,0,Cash
123487904,0,Cash
123578285,0,Cash
123662257,0,Cash
123669700,0,Credit Card
123456844,0,Cash
123473270,0,Cash
123668989,0,Cash
123644696,0,Cash
123577578,0,Credit Card
123500686,0,Cash
123604938,0,Credit Card
123486063,0,Cash
123463094,0,Credit Card
123459685,0,Cash
123524374,0,Cash
123719573,0,Cash
123495424,0,Cash
123557236,0,Cash
123705636,0,Cash
123478662,0,Cash
123629727,0,Cash
123426078,0,Cash
123665462,0,Credit Card
123495515,0,Cash
123624846,0,Cash
123666421,0,Cash
123638263,0,Cash
123553892,0,Cash
123449666,0,Cash
123467631,0,Cash
123568363,0,Cash
123705658,0,Credit Card
123553463,0,Cash
123504179,0,Cash
123470139,0,Credit Card
123603781,0,Cash
123480074,0,Credit Card
123491050,0,Cash
123438665,0,Cash
123467696,0,Cash
123498566,0,Cash
123725175,0,Cash
123526033,0,Credit Card
123439846,0,Cash
123566007,0,Credit Card
123487997,0,Cash
123666707,0,Cash
123512734,0,Cash
123549379,0,Cash
123684635,0,Credit Card
123574914,0,Cash
123497014,0,Credit Card
123492325,0,Cash
123656270,0,Cash
123427674,0,Cash
123532530,0,Cash
123715365,0,Cash
123723065,1,Cash
123679571,0,Cash
123636572,0,Cash
123642228,0,Cash
123603551,1,Cash
123508631,0,Cash
123685788,0,Cash
123525201,0,Cash
123432472,0,Cash
123717934,0,Cash
123589365,0,Cash
123556575,0,Credit Card
123488948,0,Cash
123611789,0,Cash
123515377,0,Cash
123522678,1,Cash
123657802,1,Cash
123530771,0,Cash
123638149,0,Cash
123491330,0,Cash
123633666,0,Cash
123722997,0,Cash
123462658,0,Cash
123726938,0,Cash
123729871,0,Cash
123591413,0,Cash
123510948,0,Cash
123518259,0,Credit Card
123596851,0,Cash
123615862,0,Cash
123496646,0,Cash
123653826,0,Credit Card
123675628,0,Cash
123658799,0,Cash
123577520,0,Cash
123426537,0,Cash
123553350,0,Cash
123716995,0,Cash
123532661,0,Cash
123426284,0,Cash
123449023,0,Cash
123611408,0,Cash
123487937,0,Cash
123694314,0,Credit Card
123653794,0,Cash
123469246,0,Cash
123589048,0,Cash
123589754,0,Cash
123728501,0,Credit Card
123454354,0,Cash
123602176,0,Cash
123702709,1,Cash
123435295,0,Cash
123695240,0,Cash
123669296,0,Cash
123718491,0,Cash
123648161,0,Cash
123445259,0,Cash
123724694,0,Cash
123615407,0,Credit Card
123689016,1,Cash
123657787,0,Credit Card
123688694,0,Cash
123553971,1,Cash
123495609,0,Cash
123603210,0,Cash
123633940,0,Cash
123527130,0,Cash
123616480,0,Cash
123717841,0,Cash
123541355,1,Cash
123730054,0,Cash
123617416,0,Cash
123492657,0,Cash
123669710,0,Cash
123604080,0,Cash
123455845,0,Cash
123616800,0,Cash
123447048,0,Cash
123439112,0,Cash
123426664,0,Credit Card
123681324,0,Cash
123569628,0,Credit Card
123650235,0,Cash
123525927,0,Cash
123537401,0,Cash
123541452,0,Credit Card
123628050,0,Cash
123508715,0,Cash
123722218,0,Cash
123727998,0,Cash
123638761,0,Cash
123719590,0,Cash
123481969,0,Cash
123498284,0,Cash
123710246,0,Cash
123546267,0,Cash
123612454,0,Cash
123477075,0,Credit Card
123689747,0,Credit Card
123455928,0,Cash
123635642,0,Cash
123699595,0,Cash
123445196,0,Cash
123678673,0,Cash
123671873,0,Cash
123538180,0,Cash
123603449,0,Cash
123692008,0,Cash
123522410,0,Cash
123617754,1,Cash
123474250,0,Cash
123715865,0,Cash
123553865,0,Cash
123633844,1,Cash
123467936,0,Credit Card
123503315,1,Cash
123454515,1,Cash
123493810,0,Cash
123536066,0,Cash
123558502,0,Cash
123710273,0,Cash
123504870,0,Cash
123487030,1,Cash
123663146,0,Cash
123680864,0,Cash
123485012,0,Credit Card
123617733,1,Cash
123609704,0,Cash
123590153,0,Cash
123580178,0,Cash
123473097,0,Cash
123456558,0,Cash
123516510,0,Cash
123565910,1,Cash
123689064,0,Cash
123633437,0,Cash
123426978,0,Cash
123610638,1,Cash
123704143,0,Cash
123437648,0,Credit Card
123458020,0,Cash
123425709,0,Cash
123450241,0,Cash
123563196,0,Cash
123498992,0,Cash
123614979,0,Credit Card
123457570,0,Cash
123697106,0,Cash
123691812,0,Credit Card
123562654,0,Cash
123444921,0,Cash
123697936,0,Cash
123718332,0,Credit Card
123709159,0,Cash
123504243,0,Cash
123504689,0,Cash
123643550,0,Cash
123707496,0,Cash
123594044,1,Cash
123499114,0,Cash
123492079,0,Cash
123598377,0,Cash
123544172,0,Credit Card
123641776,1,Cash
123423382,0,Cash
123698619,0,Cash
123447704,1,Cash
123597194,0,Cash
123449161,0,Cash
123584287,0,Cash
123596028,0,Credit Card
123576708,0,Cash
123688492,0,Cash
123577980,0,Cash
123583580,0,Cash
123722333,0,Cash
123730418,0,Credit Card
123675909,0,Cash
123680607,0,Cash
123505929,0,Cash
123490300,0,Cash
123708784,0,Cash
123495258,0,Credit Card
123701302,0,Cash
123424076,0,Cash
123599790,0,Cash
123630917,0,Cash
123430105,0,Credit Card
123519487,0,Cash
123698575,0,Credit Card
123592354,0,Cash
123628687,0,Credit Card
123670097,0,Cash
123429393,0,Cash
123666061,0,Credit Card
123657600,0,Cash
123532919,0,Cash
123611271,0,Cash
123515928,0,Cash
123601316,0,Cash
123461583,0,Cash
123525485,0,Credit Card
123489098,1,Cash
123493502,0,Cash
123591414,0,Cash
123555242,0,Cash
123558747,0,Cash
123655441,0,Cash
123436985,0,Cash
123709680,0,Cash
123484879,0,Cash
123651686,0,Cash
123429923,0,Cash
123440887,0,Cash
123601007,0,Cash
123433834,0,Credit Card
123666381,0,Credit Card
123693615,0,Credit Card
123643456,0,Cash
123533354,0,Cash
123601390,0,Cash
123488758,0,Cash
123620978,0,Cash
123608688,0,Cash
123489775,0,Cash
123720172,0,Cash
123519066,0,Cash
123477211,0,Cash
123459861,0,Cash
123542370,0,Cash
123694909,0,Cash
123679099,0,Cash
123646281,0,Cash
123522521,0,Cash
123493403,0,Cash
123590222,0,Cash
123447858,0,Cash
123708751,0,Cash
123722470,0,Cash
123607119,1,Cash
123503214,0,Cash
123574728,0,Cash
123492163,1,Cash
123507269,0,Cash
123725656,0,Cash
123573443,0,Cash
123702800,1,Cash
123500871,0,Cash
123678771,0,Cash
123534119,0,Cash
123619200,0,Cash
123538843,1,Cash
123716329,0,Cash
123604509,0,Cash
123572743,0,Cash
123596383,1,Cash
123693999,0,Cash
123660950,0,Cash
123480489,0,Cash
123666428,0,Cash
123483071,0,Cash
123629866,1,Cash
123470784,1,Cash
123617240,0,Cash
123499285,1,Cash
123626043,0,Cash
123552971,0,Cash
123492431,0,Cash
123443982,0,Cash
123697544,0,Credit Card
123717153,0,Cash
123664304,0,Cash
123506419,0,Credit Card
123639413,0,Cash
123485618,0,Cash
123551576,0,Cash
123575327,0,Cash
123644774,1,Cash
123626941,0,Cash
123528289,0,Cash
123658029,0,Cash
123717381,0,Cash
123475029,0,Cash
123717303,0,Cash
123520148,0,Cash
123578367,0,Cash
123466415,0,Cash
123475410,0,Cash
123683297,0,Cash
123696047,0,Cash
123445578,0,Cash
123494242,0,Cash
123581730,0,Cash
123515659,0,Credit Card
123527232,0,Cash
123460819,0,Cash
123549718,0,Cash
123727354,0,Cash
123695837,0,Cash
123542599,0,Cash
123663011,0,Cash
123429406,0,Cash
123622574,0,Cash
123531632,1,Cash
123483665,0,Cash
123523036,0,Cash
123653480,0,Cash
123455134,0,Cash
123716540,0,Cash
123519697,0,Cash
123602955,0,Cash
123706183,0,Cash
123567787,0,Cash
123588245,0,Cash
123537090,0,Cash
123663559,1,Credit Card
123662829,0,Cash
123489111,0,Cash
123715839,1,Cash
123692387,0,Cash
123447899,0,Cash
123662977,1,Cash
123621889,0,Cash
123581427,0,Cash
123545509,0,Cash
123589912,1,Cash
123460141,0,Cash
123557275,0,Cash
123645407,0,Cash
123724371,0,Cash
123453214,0,Cash
123703586,0,Cash
123452477,0,Cash
123439849,0,Cash
123724388,0,Credit Card
123513823,0,Cash
123606655,1,Credit Card
123468690,0,Cash
123475632,0,Cash
123575024,0,Credit Card
123696019,0,Credit Card
123452568,0,Cash
123660837,0,Cash
123569530,1,Cash
123642549,0,Cash
123601759,0,Cash
123660283,0,Cash
123516840,0,Cash
123582208,0,Cash
123648747,0,Cash
123600981,0,Cash
123567830,0,Cash
123463101,0,Cash
123719349,0,Cash
123676641,0,Cash
123624117,0,Cash
123524783,0,Cash
123643730,0,Cash
123442151,1,Cash
123715379,0,Cash
123435572,0,Cash
123507598,0,Cash
123613760,0,Cash
123619683,1,Cash
123653841,0,Cash
123564554,0,Cash
123445170,0,Cash
123579228,0,Cash
123643951,0,Cash
123659412,0,Cash
123552718,0,Cash
123564149,0,Cash
123688362,0,Cash
123651954,0,Cash
123687832,0,Cash
123613661,0,Cash
123529775,0,Cash
123640881,0,Cash
123656852,0,Cash
123481472,0,Cash
123609516,0,Cash
123511640,0,Cash
123524601,0,Cash
123471150,0,Cash
123467891,0,Cash
123503754,0,Credit Card
123493329,0,Cash
123612196,0,Cash
123596658,0,Cash
123476183,0,Cash
123667719,0,Cash
123500395,0,Cash
123627555,0,Credit Card
123668307,0,Cash
123591351,0,Cash
123682898,0,Cash
123668569,0,Cash
123472502,0,Cash
123439170,0,Cash
123640591,0,Cash
123580440,0,Cash
123571510,0,Cash
123552345,0,Cash
123611896,0,Cash
123612394,0,Cash
123484847,0,Cash
123507342,0,Cash
123461107,0,Cash
123508757,0,Cash
123694270,1,Cash
123641760,0,Cash
123579767,0,Cash
123612834,0,Credit Card
123637312,0,Cash
123665789,0,Cash
123603346,0,Cash
123489909,0,Cash
123469833,0,Cash
123651301,0,Credit Card
123720567,0,Cash
123614642,0,Credit Card
123509268,1,Cash
123628645,0,Cash
123657090,0,Cash
123539651,0,Cash
123723270,0,Credit Card
123689080,0,Credit Card
123529057,0,Cash
123502368,0,Cash
123680429,0,Cash
123441746,0,Cash
123681814,0,Cash
123482025,0,Cash
123441606,0,Cash
123728337,0,Cash
123491948,0,Cash
123533151,0,Cash
123500470,0,Cash
123488764,0,Cash
123442951,0,Cash
123480509,0,Cash
123626725,0,Cash
123545542,0,Cash
123687407,1,Cash
123600671,0,Cash
123428605,0,Cash
123501260,1,Cash
123620736,0,Cash
123483135,0,Cash
123604336,0,Cash
123586101,0,Cash
123726013,0,Cash
123717762,0,Cash
123518276,0,Cash
123544088,1,Cash
123561446,0,Cash
123708082,1,Cash
123586253,0,Cash
123718726,0,Credit Card
123450912,0,Credit Card
123501494,0,Cash
123672128,0,Cash
123483614,0,Cash
123451077,0,Cash
123728614,0,Cash
123509439,0,Cash
123530805,0,Cash
123578710,0,Cash
123638206,0,Cash
123591003,0,Credit Card
123654062,0,Cash
123669146,0,Cash
123426860,0,Cash
123502559,0,Cash
123452991,0,Cash
123699181,0,Cash
123526017,0,Cash
123591408,0,Cash
123478522,0,Cash
123572650,0,Cash
123535208,0,Cash
123707639,0,Cash
123697014,0,Cash
123651853,0,Cash
123698173,0,Credit Card
123542525,0,Credit Card
123473790,0,Cash
123611912,0,Cash
123639965,0,Cash
123610634,0,Cash
123688084,0,Cash
123509683,0,Credit Card
123453707,1,Cash
123499976,1,Cash
123442895,1,Cash
123512426,0,Credit Card
123598017,0,Cash
123686701,1,Cash
123676897,0,Cash
123490638,0,Cash
123573004,0,Cash
123461793,0,Cash
123618601,0,Cash
123505316,0,Cash
123625720,0,Cash
123633279,0,Cash
123511692,0,Cash
123510242,0,Cash
123710591,0,Cash
123535004,0,Cash
123659104,0,Cash
123470482,0,Cash
123703199,0,Cash
123494970,0,Cash
123594739,0,Cash
123566737,0,Cash
123556388,0,Cash
123706546,0,Cash
123596617,0,Credit Card
123700211,0,Cash
123614142,0,Cash
123691846,0,Cash
123431105,0,Cash
123533365,0,Cash
123473223,0,Cash
123497743,0,Cash
123493658,0,Cash
123605895,0,Cash
123470067,0,Cash
123576183,0,Cash
123515996,0,Cash
123694006,0,Cash
123591335,0,Cash
123724658,0,Cash
123609118,0,Credit Card
123452849,0,Cash
123692079,0,Cash
123520085,0,Cash
123600427,0,Cash
123476098,0,Cash
123499522,0,Cash
123424712,0,Credit Card
123695896,0,Cash
123430323,0,Cash
123557889,0,Cash
123440864,0,Cash
123650689,0,Cash
123685242,1,Cash
123668602,0,Cash
123432841,0,Cash
123564245,0,Cash
123722799,0,Cash
123697211,1,Cash
123581873,0,Cash
123426340,0,Cash
123451989,0,Cash
123621373,0,Cash
123562336,0,Cash
123540605,0,Cash
123711198,1,Cash
123524686,0,Cash
123508415,0,Cash
123448892,0,Credit Card
123461676,1,Cash
123570627,0,Cash
123525744,0,Cash
123569775,0,Cash
123645893,0,Cash
123566070,0,Credit Card
123532116,0,Cash
123595257,0,Cash
123643375,0,Cash
123473660,0,Credit Card
123439657,0,Cash
123535018,0,Cash
123494495,0,Cash
123575224,0,Cash
123462899,0,Cash
123452922,0,Cash
123554676,0,Cash
123633222,0,Cash
123609785,0,Cash
123602920,0,Cash
123516324,0,Cash
123532767,0,Cash
123516319,0,Cash
123564319,0,Cash
123515277,0,Cash
123683466,0,Credit Card
123523601,1,Credit Card
123667297,0,Cash
123568125,0,Cash
123617559,0,Cash
123672065,0,Cash
123514755,0,Cash
123547712,0,Cash
123456913,0,Cash
123678116,0,Cash
123519386,0,Cash
123554420,0,Cash
123565000,0,Cash
123672639,0,Cash
123607412,1,Credit Card
123561616,0,Cash
123598430,0,Cash
123478259,0,Cash
123593267,0,Cash
123711726,0,Cash
123566688,0,Cash
123494311,0,Credit Card
123457317,1,Cash
123487302,0,Cash
123660351,0,Cash
123571415,0,Cash
123563914,0,Cash
123571730,0,Cash
123576052,0,Cash
123575514,1,Cash
123537189,0,Cash
123575404,0,Cash
123515356,0,Cash
123472216,0,Cash
123469015,1,Cash
123718769,0,Credit Card
123528001,0,Cash
123562064,0,Cash
123454604,1,Cash
123555350,0,Cash
123455059,0,Cash
123436392,0,Cash
123445534,0,Cash
123719576,0,Credit Card
123429242,0,Cash
123624575,0,Cash
123712692,0,Cash
123521455,0,Cash
123465383,0,Cash
123613762,0,Cash
123458666,0,Cash
123725786,0,Cash
123665713,0,Cash
123470097,0,Credit Card
123433359,0,Cash
123590457,0,Cash
123570200,0,Cash
123544819,0,Cash
123612328,0,Cash
123645809,0,Cash
123499898,0,Cash
123722035,0,Cash
123702157,0,Cash
123563565,0,Credit Card
123548389,0,Cash
123434095,0,Cash
123626646,0,Cash
123497059,0,Cash
123640597,0,Cash
123516549,0,Cash
123461739,0,Cash
123438268,0,Cash
123633459,0,Cash
123633298,1,Cash
123623907,0,Credit Card
123729685,0,Cash
123690438,0,Credit Card
123663660,0,Cash
123458262,0,Cash
123719958,0,Cash
123610880,0,Credit Card
123722158,0,Cash
123530597,0,Cash
123522298,0,Cash
123496579,0,Cash
123508279,0,Cash
123630713,0,Cash
123521736,0,Cash
123451937,0,Cash
123430875,0,Cash
123486433,0,Cash
123726590,1,Cash
123526475,0,Credit Card
123673784,0,Credit Card
123488013,0,Credit Card
123615253,0,Credit Card
123668637,0,Credit Card
123454804,0,Cash
123461384,0,Cash
123475380,0,Cash
123443053,0,Credit Card
123615850,0,Cash
123656780,0,Cash
123520152,0,Cash
123617214,0,Cash
123494915,0,Cash
123716741,0,Cash
123595666,0,Cash
123647155,0,Cash
123665007,0,Cash
123457687,0,Cash
123484613,0,Cash
123719627,0,Cash
123514592,0,Cash
123720578,0,Cash
123566192,0,Cash
123613804,0,Cash
123642633,0,Cash
123646395,0,Cash
123581104,0,Cash
123602993,0,Cash
123506397,1,Cash
123573150,0,Cash
123543881,0,Cash
123678315,0,Cash
123603590,0,Cash
123446010,1,Cash
123602984,0,Cash
123507441,0,Credit Card
123519179,0,Cash
123529733,1,Cash
123443056,0,Cash
123658969,0,Cash
123444961,0,Cash
123609673,0,Credit Card
123651929,1,Cash
123643709,0,Cash
123701350,1,Cash
123684798,0,Cash
123656580,0,Cash
123640036,0,Cash
123531802,0,Cash
123696268,1,Cash
123577629,0,Cash
123546168,0,Cash
123723436,0,Credit Card
123646111,0,Credit Card
123483401,0,Cash
123689549,1,Cash
123662267,0,Cash
123582734,0,Cash
123626862,0,Cash
123587747,0,Cash
123626914,0,Cash
123691481,0,Cash
123600477,0,Cash
123654943,0,Cash
123427920,0,Cash
123590449,0,Cash
123518985,0,Credit Card
123630919,0,Credit Card
123703050,1,Cash
123445566,0,Cash
123567277,0,Cash
123636338,0,Cash
123695696,0,Credit Card
123611625,0,Cash
123488614,0,Cash
123567087,0,Cash
123584849,1,Cash
123548043,0,Cash
123517233,0,Cash
123468628,0,Cash
123682549,1,Cash
123478978,0,Credit Card
123705700,0,Credit Card
123500176,0,Cash
123661507,0,Cash
123662006,0,Cash
123633358,0,Cash
123654061,0,Cash
123677576,0,Cash
123497717,0,Cash
123512420,0,Cash
123716316,0,Cash
123683228,0,Cash
123513454,0,Cash
123567250,0,Cash
123670890,0,Cash
123728542,0,Cash
123697217,0,Cash
123568293,0,Credit Card
123577468,1,Cash
123454641,1,Cash
123521376,0,Cash
123474915,0,Cash
123694646,0,Cash
123536034,1,Cash
123624192,0,Credit Card
123602541,0,Cash
123708484,0,Cash
123614770,0,Cash
123456014,0,Credit Card
123439165,0,Cash
123485009,0,Cash
123563347,0,Credit Card
123681813,0,Cash
123691961,1,Cash
123719375,0,Cash
123508445,0,Cash
123647936,0,Cash
123644417,0,Cash
123692102,0,Cash
123518408,0,Cash
123425740,0,Cash
123590467,0,Cash
123490585,0,Cash
123575121,0,Cash
123614832,0,Cash
123576832,0,Cash
123718452,1,Cash
123686070,0,Cash
123651722,0,Cash
123670216,0,Cash
123641900,0,Cash
123631198,0,Cash
123452984,0,Cash
123562511,0,Cash
123656211,0,Cash
123691361,0,Cash
123452161,0,Cash
123600904,0,Cash
123525399,0,Cash
123612901,0,Cash
123697860,0,Cash
123439283,0,Cash
123557963,0,Credit Card
123665077,0,Credit Card
123709622,0,Cash
123462113,0,Cash
123580211,0,Cash
123630084,0,Cash
123433297,0,Cash
123511982,0,Cash
123476857,0,Cash
123551773,0,Cash
123484219,0,Cash
123616493,0,Credit Card
123482105,0,Cash
123618638,0,Cash
123655128,0,Cash
123699056,0,Credit Card
123728163,0,Cash
123580581,0,Cash
123619020,0,Cash
123499479,0,Cash
123540531,0,Cash
123724095,0,Cash
123552656,0,Cash
123571706,0,Cash
123722962,0,Cash
123460168,0,Cash
123557860,0,Cash
123631030,0,Cash
123672963,1,Cash
123543140,1,Cash
123710581,0,Cash
123668652,0,Cash
123425279,0,Cash
123467727,0,Cash
123598914,0,Cash
123691374,0,Cash
123426873,0,Cash
123447287,0,Cash
123641206,0,Cash
123584469,0,Cash
123724212,0,Cash
123523376,0,Cash
123591813,0,Cash
123622877,0,Cash
123670878,0,Cash
123458851,0,Cash
123565072,0,Cash
123548289,0,Cash
123513436,0,Cash
123446236,0,Cash
123544710,0,Cash
123673028,0,Credit Card
123573609,0,Cash
123617915,0,Cash
123467432,0,Cash
123712760,0,Cash
123613703,0,Cash
123610246,0,Cash
123651332,0,Credit Card
123432596,0,Cash
123598491,0,Cash
123653065,0,Cash
123531570,0,Cash
123689444,0,Credit Card
123651383,0,Cash
123634384,0,Cash
123584325,0,Cash
123679595,0,Credit Card
123558320,0,Cash
123595568,0,Cash
123478462,0,Credit Card
123458761,0,Cash
123614238,0,Cash
123591509,0,Cash
123566244,0,Cash
123623711,0,Cash
123628997,0,Cash
123434546,0,Cash
123528945,0,Cash
123562607,0,Cash
123486829,1,Cash
123577192,1,Cash
123654967,0,Credit Card
123688275,0,Cash
123544903,0,Cash
123707937,0,Cash
123588703,1,Cash
123723604,0,Cash
123692158,0,Credit Card
123470488,0,Cash
123515889,0,Cash
123440471,0,Cash
123629849,0,Cash
123575607,0,Cash
123558992,0,Cash
123532127,0,Cash
123513456,0,Cash
123460345,0,Cash
123497394,0,Cash
123706757,0,Cash
123556437,0,Cash
123443883,1,Cash
123661971,0,Cash
123560587,0,Cash
123560821,0,Cash
123440762,0,Cash
123499213,0,Cash
123462004,0,Credit Card
123441389,0,Credit Card
123683374,1,Cash
123571759,0,Cash
123427591,0,Cash
123636647,0,Cash
123517701,0,Cash
123482377,0,Cash
123552818,0,Cash
123451150,0,Cash
123707494,0,Cash
123447354,0,Credit Card
123651980,0,Cash
